json_path,observed_types,occurrences,null_occurrences,sample_values
$,object,1,0,[]
$.copyright,string,1,0,"[""Copyright 2026 MLB Advanced Media, L.P.  Use of any content on this page acknowledges agreement to the terms posted here http://gdx.mlb.com/components/copyright.txt""]"
$.gameData,object,1,0,[]
$.gameData.alerts,array,1,0,[]
$.gameData.datetime,object,1,0,[]
$.gameData.datetime.ampm,string,1,0,"[""PM""]"
$.gameData.datetime.dateTime,string,1,0,"[""2019-04-02T02:10:00Z""]"
$.gameData.datetime.dayNight,string,1,0,"[""night""]"
$.gameData.datetime.officialDate,string,1,0,"[""2019-04-01""]"
$.gameData.datetime.originalDate,string,1,0,"[""2019-04-01""]"
$.gameData.datetime.time,string,1,0,"[""7:10""]"
$.gameData.flags,object,1,0,[]
$.gameData.flags.awayTeamNoHitter,boolean,1,0,[false]
$.gameData.flags.awayTeamPerfectGame,boolean,1,0,[false]
$.gameData.flags.homeTeamNoHitter,boolean,1,0,[false]
$.gameData.flags.homeTeamPerfectGame,boolean,1,0,[false]
$.gameData.flags.noHitter,boolean,1,0,[false]
$.gameData.flags.perfectGame,boolean,1,0,[false]
$.gameData.game,object,1,0,[]
$.gameData.game.calendarEventID,string,1,0,"[""14-566279-2019-04-01""]"
$.gameData.game.doubleHeader,string,1,0,"[""N""]"
$.gameData.game.gameNumber,integer,1,0,[1]
$.gameData.game.gamedayType,string,1,0,"[""P""]"
$.gameData.game.id,string,1,0,"[""2019/04/01/arimlb-sdnmlb-1""]"
$.gameData.game.pk,integer,1,0,[566279]
$.gameData.game.season,string,1,0,"[""2019""]"
$.gameData.game.seasonDisplay,string,1,0,"[""2019""]"
$.gameData.game.tiebreaker,string,1,0,"[""N""]"
$.gameData.game.type,string,1,0,"[""R""]"
$.gameData.gameInfo,object,1,0,[]
$.gameData.gameInfo.attendance,integer,1,0,[18683]
$.gameData.gameInfo.firstPitch,string,1,0,"[""2019-04-02T02:11:00.000Z""]"
$.gameData.gameInfo.gameDurationMinutes,integer,1,0,[184]
$.gameData.moundVisits,object,1,0,[]
$.gameData.moundVisits.away,object,1,0,[]
$.gameData.moundVisits.away.remaining,integer,1,0,[5]
$.gameData.moundVisits.away.used,integer,1,0,[0]
$.gameData.moundVisits.home,object,1,0,[]
$.gameData.moundVisits.home.remaining,integer,1,0,[5]
